vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,car_name_freq
9,120000,19.7,796,46.3,5,120000,778
5,20000,18.9,1197,82.0,5,550000,580
11,60000,17.0,1197,80.0,5,215000,906
9,37000,20.92,998,67.1,5,226000,778
6,30000,22.77,1498,98.59,5,570000,374
8,35000,18.9,998,67.1,5,350000,717
8,40000,20.36,1197,78.9,5,315000,410
3,17512,20.51,998,67.04,5,410000,717
2,20000,18.15,998,118.35,5,1050000,58
4,28321,16.6,1197,85.0,5,511000,781
8,65278,22.32,1582,126.32,5,425000,492
5,50000,19.64,1461,108.45,5,750000,218
4,6000,14.41,1998,189.08,5,3250000,17
5,76000,28.09,1248,88.5,5,650000,346
5,20000,25.2,1248,74.0,5,627000,781
7,65000,19.27,2143,170.0,5,1425000,118
7,62200,28.4,1248,74.0,5,425000,781
8,110000,12.99,2494,100.6,8,605000,545
6,20000,21.4,1197,83.1,5,600000,364
5,40000,20.85,1197,83.14,5,575000,890
8,47000,16.09,1598,103.2,5,425000,247
8,25000,20.92,998,67.1,5,230000,778
2,15000,19.67,1582,126.2,5,1225000,336
6,50000,17.4,1497,117.3,5,750000,757
10,25000,13.6,2523,63.0,7,350000,211
6,90000,26.59,1248,74.0,5,600000,890
8,45000,26.59,1248,74.0,5,390000,890
14,77253,17.7,1497,78.0,5,145000,757
3,25000,17.19,1197,81.86,5,700000,906
8,110000,13.0,2982,168.5,7,1150000,187
4,30000,23.01,999,67.0,5,340000,306
5,39993,18.6,1199,88.76,5,465000,362
12,80000,17.92,1086,62.1,5,125000,139
9,185000,15.1,2179,140.0,7,600000,330
8,90000,23.4,1248,74.0,5,380000,890
3,15000,22.54,1396,88.73,5,850000,906
3,40000,18.6,1197,81.83,5,598000,906
6,31180,18.0,1497,117.3,5,700000,757
7,56000,23.4,1248,74.0,5,410000,890
5,52427,21.4,1197,83.1,5,590000,364
1,40000,21.0,1498,74.96,7,850000,211
3,17000,18.15,1198,82.0,5,550000,27
5,22000,15.4,1590,94.0,5,625000,364
5,54000,20.85,1197,83.14,5,600000,890
2,10000,20.51,998,67.04,5,445000,717
2,20000,20.89,1197,81.8,5,530000,73
3,53237,26.6,998,58.16,5,410000,717
3,27263,22.5,999,68.0,5,350000,75
7,110000,22.32,1582,126.3,5,520000,492
5,70000,22.54,1396,88.73,5,750000,906
4,70000,26.59,1248,74.0,5,560000,890
2,39000,18.6,1197,81.83,5,655000,906
14,56000,17.8,1086,63.0,5,125000,139
3,34000,18.6,1197,81.83,5,550000,906
4,50000,15.4,1997,120.0,7,1150000,273
9,77400,20.54,1598,103.6,5,500000,247
2,36000,17.3,1497,121.0,7,990000,24
8,47876,25.0,1493,113.42,5,551000,492
3,21500,15.1,2179,152.87,7,1650000,330
6,75000,24.0,1120,70.0,5,350000,580
4,58000,18.16,1196,86.8,5,500000,65
3,30000,21.21,1197,81.8,5,575000,890
3,50000,24.0,1186,73.97,5,545000,580
4,19093,18.16,1196,86.8,5,525000,271
7,50000,18.0,1198,86.7,5,400000,362
15,37000,14.0,1061,64.0,5,155000,717
5,47000,26.59,1248,74.0,5,545000,890
8,70000,16.8,1497,116.3,5,545000,757
5,25000,25.17,799,53.3,5,240000,306
3,26000,24.3,1248,88.5,5,725000,295
4,30000,18.16,1196,86.8,5,480000,65
8,15000,18.5,1197,82.9,5,375000,906
10,160000,17.8,1248,75.0,5,225000,781
4,32100,23.84,1199,84.0,5,400000,145
5,22000,18.5,1197,82.9,5,550000,906
5,44000,15.4,2179,120.0,7,1050000,273
5,78000,18.78,1198,74.0,5,450000,373
9,74352,11.74,1796,186.0,5,775000,118
7,37000,20.51,998,67.04,5,350000,717
7,69000,25.1,1498,98.6,5,550000,757
2,12120,16.8,1497,113.4,5,1080000,28
5,52000,21.01,1197,81.8,5,575000,364
5,120000,12.99,2494,100.6,8,950000,545
8,55000,22.74,796,47.3,5,230000,778
10,160000,21.9,1396,90.0,5,270000,906
10,40000,15.6,1196,70.0,5,130000,271
9,46000,19.1,1197,85.8,5,370000,890
4,25000,21.4,1197,83.1,5,570000,364
8,90000,22.07,1199,73.9,5,365000,373
9,49566,18.5,1197,82.85,5,280000,906
3,14000,22.0,1582,126.2,5,1250000,492
5,11000,18.6,1197,81.83,5,590000,906
3,5000,23.1,998,67.04,5,475000,237
4,55000,23.0,1498,98.96,5,685000,374
9,65000,19.08,1582,126.32,5,380000,492
3,22000,23.01,999,67.0,5,330000,306
3,7671,21.01,1197,81.8,5,650000,364
5,66000,20.51,998,67.04,5,325000,717
3,45156,21.21,1197,81.8,5,640000,890
2,25000,18.27,998,118.35,5,949000,58
